teamId,compId,compName,teamName,teamNickName,teamAbbr,teamHexColour,teamHexColour2
500125,113,nswcup,Western Suburbs Magpies,Wests Magpies,MAG,b4b4be,000000
500131,113,nswcup,New Zealand Warriors NSW Cup,Warriors,WAR,cccccc,000000
500136,113,nswcup,Manly-Warringah Sea Eagles NSW Cup,Sea Eagles,MAN,610a35,b4b4be
500138,113,nswcup,Canterbury-Bankstown Bulldogs NSW Cup,Bulldogs,BUL,0055a5,b4b4be
500141,113,nswcup,North Sydney Bears,Bears,NSD,ef342b,000000
500142,113,nswcup,Newtown Jets,Jets,JET,2654c3,b4b4be
500146,116,origin,New South Wales,Blues,NSW,69aee5,092e75
500147,116,origin,Queensland,Maroons,QLD,8a1a40,c0baba
500151,114,qcup,Souths Logan Magpies,Magpies,MAG,,b4b4be
500161,121,superleague,London Broncos,Broncos,LON,,
500162,121,superleague,Catalans,Dragons,CAT,ff1200,fcd006
500166,121,superleague,Salford,Red Devils,SAL,ed1b26,000000
500167,121,superleague,Hull KR,The Robins,HKR,ff1200,995dde
500168,121,superleague,Hull,Hull FC,HFC,000000,caaf7f
500169,121,superleague,Wigan,Warriors,WIG,cc0000,b4b4be
500170,121,superleague,Leeds,Rhinos,LEE,0c499c,fbc622
500171,121,superleague,Wakefield,Trinity,WAK,062f67,b4b4be
500172,121,superleague,Castleford,Tigers,CAS,f2a51f,000000
500173,121,superleague,Huddersfield,Giants,HUD,741212,feba35
500175,121,superleague,Warrington,Wolves,WRR,fdc62d,1d3eb2
500176,121,superleague,St Helens,Saints,STH,fe000b,b4b4be
500208,114,qcup,Townsville Blackhawks,Blackhawks,BLA,,
500218,144,sgball,Sydney Roosters U19,Roosters,SYD,062f67,ff1200
500219,144,sgball,Parramatta Eels U19,Eels,PAR,ffd900,0058a4
500220,144,sgball,St. George Dragons U19,Dragons,STG,fe000b,b4b4be
500221,144,sgball,Western Suburbs Magpies U19,Magpies,MAG,b4b4be,000000
500222,144,sgball,Manly-Warringah Sea Eagles U19,Sea Eagles,MAN,610a35,b4b4be
500225,144,sgball,North Sydney Bears U19,Bears,NSD,ef342b,000000
500226,144,sgball,Canterbury-Bankstown Bulldogs U19,Bulldogs,BUL,0055a5,b4b4be
500227,144,sgball,Newcastle Knights U19,Knights,NEW,ee3424,0c499c
500229,144,sgball,Balmain Tigers U19,Tigers,BAL,,
500230,144,sgball,Penrith Panthers U19,Panthers,PEN,00687d,232020
500231,144,sgball,Canberra Raiders U19,Raiders,CAN,00ab57,022c9a
500232,144,sgball,Illawarra Steelers U19,Steelers,ILL,,
500233,144,sgball,South Sydney Rabbitohs U19,Rabbitohs,SOU,01914c,ed1b26
500234,144,sgball,Cronulla-Sutherland Sharks U19,Sharks,CRO,4b9ad4,000000
500239,143,haroldmatthews,Sydney Roosters U17,Roosters,SYD,062f67,ff1200
500240,143,haroldmatthews,Parramatta Eels U17,Eels,PAR,ffd900,0058a4
